competition,event,race,code,date,position,nationality,time,crew
2018 World Rowing Cup I,M4-,Men's Four - Heat,H4,01/06/2018,3,ROU,06:08.8,"TIGANESCU, Mihaita-Vasile; PASCARI, Cosmin; BERARIU, Stefan-Constantin; HUC, Ciprian"
2018 World Rowing Cup I,M4-,Men's Four - Heat,H4,01/06/2018,4,CHN1,06:44.6,"ZHANG, Quan; CHEN, Xianfeng; SU, Ruihao; ZHANG, Songhu"
2018 World Rowing Cup I,M4-,Men's Four - Final,FA,03/06/2018,1,NED2,05:51.0,"VAN DEN ENDE, Bjorn; ROELL, Boudewijn; KNAB, Ruben; VERSLUIS, Mechiel"
2018 World Rowing Cup I,M4-,Men's Four - Final,FA,03/06/2018,2,NED1,05:52.4,"WIETEN, Tone; HENDRIKS, Kaj; TISSEN, Jasper; LUECKEN, Robert"
2018 World Rowing Cup I,M4-,Men's Four - Final,FA,03/06/2018,3,BLR,05:52.4,"LIALIN, Vadzim; VYBERANETS, Dzmitry; PASHEVICH, Ihar; SHARLAP, Mikalai"
2018 World Rowing Cup I,M4-,Men's Four - Final,FA,03/06/2018,4,GER,05:53.2,"BRUMMEL, Felix; MERGET, Nico; KLUGE, Peter; SCHMELA, Rene"
2018 World Rowing Cup I,M4-,Men's Four - Final,FA,03/06/2018,5,GBR2,05:54.6,"JOHNSTON, James; MCBRIERTY, Callum; DAWSON, Jacob; FORD, Thomas"
2018 World Rowing Cup I,M4-,Men's Four - Final,FA,03/06/2018,6,AUT,05:57.1,"WALK, Florian; KOHLMAYR, Maximilian; QUERFELD, Rudolph; HOHENSASSER, Gabriel"
2018 World Rowing Cup I,M4-,Men's Four - Final,FB,03/06/2018,1,ROU,05:53.1,"TIGANESCU, Mihaita-Vasile; PASCARI, Cosmin; BERARIU, Stefan-Constantin; HUC, Ciprian"
2018 World Rowing Cup I,M4-,Men's Four - Final,FB,03/06/2018,2,NED3,05:55.2,"LANGEN, Harold; STEENMAN, Mitchel; VAN DER WANT, Vincent; VIERGEVER, Govert"
2018 World Rowing Cup I,M4-,Men's Four - Final,FB,03/06/2018,3,RSA,05:57.8,"SCHOONBEE, Kyle; HUNT, David; SMITH, John; TORRENTE, Sandro"
2018 World Rowing Cup I,M4-,Men's Four - Final,FB,03/06/2018,4,DEN,05:58.1,"JENSEN, Steffen; GARVEY, Lars; RASMUSSEN, Toger; KEMPF, Tobias"
2018 World Rowing Cup I,M4-,Men's Four - Final,FB,03/06/2018,5,RUS,05:59.8,"CHAUKIN, Alexander; PSHENICHNIKOV, Yuriy; BALANDIN, Ivan; VIKULIN, Aleksey"
2018 World Rowing Cup I,M4-,Men's Four - Final,FB,03/06/2018,6,CHN2,06:02.2,"XIONG, Xiong; ZHAO, Chao; ZHOU, Xuewu; LYU, Fanpu"
2018 World Rowing Cup I,M4-,Men's Four - Final,FC,02/06/2018,1,NED4,06:22.3,"WULLINGS, Bo; VAN DER BIJ, Jan; VAN DEN HERIK, Lex; RITSEMA, Nelson"
2018 World Rowing Cup I,M4-,Men's Four - Final,FC,02/06/2018,2,POL,06:26.4,"POSYLAJKA, Lucasz; PAWLOWSKI, Adrian; SOBIERAJ, Marcin; BRZEZINSKI, Marcin"
2018 World Rowing Cup I,M4-,Men's Four - Final,FC,02/06/2018,3,CZE,06:27.3,"PILC, Jan; MELICHAR, Petr; POTUCEK, Jan; KLANG, Matyas"
2018 World Rowing Cup I,M4-,Men's Four - Final,FC,02/06/2018,4,CRO,06:29.7,"BARICEVIC, Luka; SAIN, Tomislav; PITON, Ivan; UDOVICIC, Karlo"
2018 World Rowing Cup I,M4-,Men's Four - Final,FC,02/06/2018,5,ESP,06:33.0,"CARAZO TOBAR, Jon; SIGURBJONSSON , Alexander; MONTES, Ismael; VELA MAGGI, Pau"
2018 World Rowing Cup I,M4-,Men's Four - Final,FD,02/06/2018,1,CAN,06:09.6,"MALOWANY, Aleksander; COPP, Mackenzie; LANGERFELD, Kai; DE GROOT, David"
2018 World Rowing Cup I,M4-,Men's Four - Final,FD,02/06/2018,2,CHN1,06:35.0,"ZHANG, Quan; CHEN, Xianfeng; SU, Ruihao; ZHANG, Songhu"
2018 World Rowing Cup I,M4-,Men's Four - Repechage,R1,01/06/2018,1,DEN,06:12.8,"JENSEN, Steffen; GARVEY, Lars; RASMUSSEN, Toger; KEMPF, Tobias"
2018 World Rowing Cup I,M4-,Men's Four - Repechage,R1,01/06/2018,2,CHN2,06:14.4,"XIONG, Xiong; ZHAO, Chao; ZHOU, Xuewu; LYU, Fanpu"
2018 World Rowing Cup I,M4-,Men's Four - Repechage,R1,01/06/2018,3,POL,06:17.8,"POSYLAJKA, Lucasz; PAWLOWSKI, Adrian; SOBIERAJ, Marcin; BRZEZINSKI, Marcin"
2018 World Rowing Cup I,M4-,Men's Four - Repechage,R1,01/06/2018,4,CRO,06:22.3,"BARICEVIC, Luka; SAIN, Tomislav; PITON, Ivan; UDOVICIC, Karlo"
2018 World Rowing Cup I,M4-,Men's Four - Repechage,R1,01/06/2018,5,CHN1,06:26.4,"ZHANG, Quan; CHEN, Xianfeng; SU, Ruihao; ZHANG, Songhu"
2018 World Rowing Cup I,M4-,Men's Four - Repechage,R2,01/06/2018,1,ROU,06:10.4,"TIGANESCU, Mihaita-Vasile; PASCARI, Cosmin; BERARIU, Stefan-Constantin; HUC, Ciprian"
2018 World Rowing Cup I,M4-,Men's Four - Repechage,R2,01/06/2018,2,RUS,06:11.1,"CHAUKIN, Alexander; PSHENICHNIKOV, Yuriy; BALANDIN, Ivan; VIKULIN, Aleksey"
2018 World Rowing Cup I,M4-,Men's Four - Repechage,R2,01/06/2018,3,NED4,06:12.8,"WULLINGS, Bo; VAN DER BIJ, Jan; VAN DEN HERIK, Lex; RITSEMA, Nelson"
2018 World Rowing Cup I,M4-,Men's Four - Repechage,R2,01/06/2018,4,ESP,06:16.3,"CARAZO TOBAR, Jon; SIGURBJONSSON , Alexander; MONTES, Ismael; VELA MAGGI, Pau"
2018 World Rowing Cup I,M4-,Men's Four - Repechage,R2,01/06/2018,5,CZE,06:16.8,"PILC, Jan; MELICHAR, Petr; POTUCEK, Jan; KLANG, Matyas"
2018 World Rowing Cup I,M4-,Men's Four - Repechage,R2,01/06/2018,6,CAN,06:17.6,"MALOWANY, Aleksander; COPP, Mackenzie; LANGERFELD, Kai; DE GROOT, David"
2018 World Rowing Cup I,M4-,Men's Four - Semifinal,SA/B 1,02/06/2018,1,GER,05:54.8,"BRUMMEL, Felix; MERGET, Nico; KLUGE, Peter; SCHMELA, Rene"
2018 World Rowing Cup I,M4-,Men's Four - Semifinal,SA/B 1,02/06/2018,2,AUT,05:55.8,"WALK, Florian; KOHLMAYR, Maximilian; QUERFELD, Rudolph; HOHENSASSER, Gabriel"
2018 World Rowing Cup I,M4-,Men's Four - Semifinal,SA/B 1,02/06/2018,3,NED1,05:56.1,"WIETEN, Tone; HENDRIKS, Kaj; TISSEN, Jasper; LUECKEN, Robert"
2018 World Rowing Cup I,M4-,Men's Four - Semifinal,SA/B 1,02/06/2018,4,ROU,05:56.3,"TIGANESCU, Mihaita-Vasile; PASCARI, Cosmin; BERARIU, Stefan-Constantin; HUC, Ciprian"
2018 World Rowing Cup I,M4-,Men's Four - Semifinal,SA/B 1,02/06/2018,5,NED3,06:07.3,"LANGEN, Harold; STEENMAN, Mitchel; VAN DER WANT, Vincent; VIERGEVER, Govert"
2018 World Rowing Cup I,M4-,Men's Four - Semifinal,SA/B 1,02/06/2018,6,CHN2,06:07.5,"XIONG, Xiong; ZHAO, Chao; ZHOU, Xuewu; LYU, Fanpu"
2018 World Rowing Cup I,M4-,Men's Four - Semifinal,SA/B 2,02/06/2018,1,GBR2,05:54.7,"JOHNSTON, James; MCBRIERTY, Callum; DAWSON, Jacob; FORD, Thomas"
2018 World Rowing Cup I,M4-,Men's Four - Semifinal,SA/B 2,02/06/2018,2,BLR,05:55.1,"LIALIN, Vadzim; VYBERANETS, Dzmitry; PASHEVICH, Ihar; SHARLAP, Mikalai"
2018 World Rowing Cup I,M4-,Men's Four - Semifinal,SA/B 2,02/06/2018,3,NED2,05:55.4,"VAN DEN ENDE, Bjorn; ROELL, Boudewijn; KNAB, Ruben; VERSLUIS, Mechiel"
2018 World Rowing Cup I,M4-,Men's Four - Semifinal,SA/B 2,02/06/2018,4,RSA,05:57.5,"HUNT, David; SCHOONBEE, Kyle; SMITH, John; TORRENTE, Sandro"
2018 World Rowing Cup I,M4-,Men's Four - Semifinal,SA/B 2,02/06/2018,5,DEN,05:58.8,"JENSEN, Steffen; GARVEY, Lars; RASMUSSEN, Toger; KEMPF, Tobias"
2018 World Rowing Cup I,M4-,Men's Four - Semifinal,SA/B 2,02/06/2018,6,RUS,06:00.7,"CHAUKIN, Alexander; PSHENICHNIKOV, Yuriy; BALANDIN, Ivan; VIKULIN, Aleksey"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H1,01/06/2018,1,ROU,06:37.5,"COZMIUC, Marius-Vasile; TUDOSA, Ciprian"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H1,01/06/2018,2,GBR1,06:44.2,"GLENISTER, Harry; ROSSITER, George"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H1,01/06/2018,3,NED1,06:48.3,"DE GRAAF, Sander; KLAASSENS, Vincent"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H1,01/06/2018,4,HUN,06:58.2,"JUHASZ, Adrian; SIMON JR, Bela"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H1,01/06/2018,5,BUL,07:04.3,"KATSARSKI, Rangel; HALADZHOV, Stanimir"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H1,01/06/2018,6,TUR,07:12.4,"SAHINOGLU, Besim; KAZAKLI, Onat"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H2,01/06/2018,1,CRO,06:40.4,"SINKOVIC, Martin; SINKOVIC, Valent"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H2,01/06/2018,2,NED2,06:47.1,"VAN DE KERKHOF, Jacob; THIJSSEN, Bas"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H2,01/06/2018,3,GER2,06:51.0,"GROSSMANN, Malte; SCHROEDER, Finn"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H2,01/06/2018,4,GRE,06:52.4,"PAPAKONSTANTINOU, Antonios; MAROKOS, Ioannis"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H2,01/06/2018,5,RUS,06:52.5,"STRADAEV, Alexandr; SHCHULEPOV, Grigorii"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H2,01/06/2018,6,LTU,06:53.0,"GIEDRIUS, Bieliauskas; STANKUNAS, Povilas"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H3,01/06/2018,1,BLR,06:39.2,"FURMAN, Dzimitry; VALADZKO, Siarhei"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H3,01/06/2018,2,RSA1,06:42.7,"BRITTAIN, Charles; MITCHELL, James"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H3,01/06/2018,3,GER1,06:51.2,"SCHROETER, Paul; FOLLERT, Laurits"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H3,01/06/2018,4,GBR2,06:52.8,"JARVIS, Ross; RANSLEY, Tom"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H3,01/06/2018,5,RSA2,07:04.5,"DAVIS, Leo Victor; DAFFARN, Luc"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H4,01/06/2018,1,CZE,06:41.2,"HELESIC, Lukas; PODRAZIL, Jakub"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H4,01/06/2018,2,ESP,06:48.0,"CANALEJO PAZOS, Jaime; GARCIA ORDONEZ, Javier"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H4,01/06/2018,3,CHN1,06:51.8,"CHENG, Xunman; LIN, Yanan"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H4,01/06/2018,4,IRL,06:51.9,"O'DONOVAN, Mark; O'DRISCOLL, Shane"
2018 World Rowing Cup I,M2-,Men's Pair - Heat,H4,01/06/2018,5,CHN2,06:57.3,"ZHAO, Jingbin; LI, Xiaoxiong"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FA,03/06/2018,1,CRO,06:19.4,"SINKOVIC, Martin; SINKOVIC, Valent"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FA,03/06/2018,2,CZE,06:21.0,"HELESIC, Lukas; PODRAZIL, Jakub"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FA,03/06/2018,3,BLR,06:23.4,"FURMAN, Dzimitry; VALADZKO, Siarhei"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FA,03/06/2018,4,ROU,06:25.4,"COZMIUC, Marius-Vasile; TUDOSA, Ciprian"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FA,03/06/2018,5,ESP,06:26.3,"CANALEJO PAZOS, Jaime; GARCIA ORDONEZ, Javier"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FA,03/06/2018,6,RSA1,06:31.4,"BRITTAIN, Charles; MITCHELL, James"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FB,03/06/2018,1,GBR1,06:36.2,"GLENISTER, Harry; ROSSITER, George"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FB,03/06/2018,2,GER1,06:37.5,"SCHROETER, Paul; FOLLERT, Laurits"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FB,03/06/2018,3,GER2,06:39.2,"GROSSMANN, Malte; SCHROEDER, Finn"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FB,03/06/2018,4,NED2,06:39.5,"VAN DE KERKHOF, Jacob; THIJSSEN, Bas"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FB,03/06/2018,5,NED1,06:41.6,"DE GRAAF, Sander; KLAASSENS, Vincent"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FB,03/06/2018,6,RUS,06:47.7,"STRADAEV, Alexandr; SHCHULEPOV, Grigorii"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FC,02/06/2018,1,HUN,06:55.4,"JUHASZ, Adrian; SIMON JR, Bela"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FC,02/06/2018,2,GRE,06:57.7,"PAPAKONSTANTINOU, Antonios; MAROKOS, Ioannis"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FC,02/06/2018,3,IRL,06:59.0,"O'DONOVAN, Mark; O'DRISCOLL, Shane"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FC,02/06/2018,4,RSA2,07:00.2,"DAVIS, Leo Victor; DAFFARN, Luc"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FC,02/06/2018,5,GBR2,07:05.6,"JARVIS, Ross; RANSLEY, Tom"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FC,02/06/2018,6,CHN1,07:09.5,"CHENG, Xunman; LIN, Yanan"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FD,02/06/2018,1,LTU,06:40.8,"GIEDRIUS, Bieliauskas; STANKUNAS, Povilas"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FD,02/06/2018,2,BUL,06:45.9,"KATSARSKI, Rangel; HALADZHOV, Stanimir"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FD,02/06/2018,3,CHN2,06:46.1,"ZHAO, Jingbin; LI, Xiaoxiong"
2018 World Rowing Cup I,M2-,Men's Pair - Final,FD,02/06/2018,4,TUR,07:24.7,"SAHINOGLU, Besim; KAZAKLI, Onat"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R1,01/06/2018,1,ESP,06:49.9,"CANALEJO PAZOS, Jaime; GARCIA ORDONEZ, Javier"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R1,01/06/2018,2,GER1,06:52.9,"SCHROETER, Paul; FOLLERT, Laurits"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R1,01/06/2018,3,GRE,06:54.3,"PAPAKONSTANTINOU, Antonios; MAROKOS, Ioannis"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R1,01/06/2018,4,BUL,07:10.9,"KATSARSKI, Rangel; HALADZHOV, Stanimir"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R2,01/06/2018,1,RSA1,06:49.1,"BRITTAIN, Charles; MITCHELL, James"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R2,01/06/2018,2,GER2,06:51.7,"GROSSMANN, Malte; SCHROEDER, Finn"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R2,01/06/2018,3,HUN,06:56.3,"JUHASZ, Adrian; SIMON JR, Bela"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R2,01/06/2018,4,CHN2,07:04.2,"ZHAO, Jingbin; LI, Xiaoxiong"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R3,01/06/2018,1,NED1,06:48.7,"DE GRAAF, Sander; KLAASSENS, Vincent"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R3,01/06/2018,2,NED2,06:50.1,"VAN DE KERKHOF, Jacob; THIJSSEN, Bas"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R3,01/06/2018,3,IRL,06:51.8,"O'DONOVAN, Mark; O'DRISCOLL, Shane"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R3,01/06/2018,4,RSA2,06:53.3,"DAVIS, Leo Victor; DAFFARN, Luc"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R3,01/06/2018,5,LTU,06:59.6,"GIEDRIUS, Bieliauskas; STANKUNAS, Povilas"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R4,01/06/2018,1,GBR1,06:50.4,"GLENISTER, Harry; ROSSITER, George"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R4,01/06/2018,2,RUS,06:53.7,"STRADAEV, Alexandr; SHCHULEPOV, Grigorii"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R4,01/06/2018,3,GBR2,07:02.1,"JARVIS, Ross; RANSLEY, Tom"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R4,01/06/2018,4,CHN1,07:02.7,"CHENG, Xunman; LIN, Yanan"
2018 World Rowing Cup I,M2-,Men's Pair - Repechage,R4,01/06/2018,5,TUR,07:20.8,"SAHINOGLU, Besim; KAZAKLI, Onat"
2018 World Rowing Cup I,M2-,Men's Pair - Semifinal,SA/B 1,02/06/2018,1,ROU,06:44.5,"COZMIUC, Marius-Vasile; TUDOSA, Ciprian"
2018 World Rowing Cup I,M2-,Men's Pair - Semifinal,SA/B 1,02/06/2018,2,BLR,06:46.6,"FURMAN, Dzimitry; VALADZKO, Siarhei"
2018 World Rowing Cup I,M2-,Men's Pair - Semifinal,SA/B 1,02/06/2018,3,RSA1,06:47.9,"BRITTAIN, Charles; MITCHELL, James"
2018 World Rowing Cup I,M2-,Men's Pair - Semifinal,SA/B 1,02/06/2018,4,GER1,06:53.7,"SCHROETER, Paul; FOLLERT, Laurits"
2018 World Rowing Cup I,M2-,Men's Pair - Semifinal,SA/B 1,02/06/2018,5,GBR1,06:54.0,"GLENISTER, Harry; ROSSITER, George"
2018 World Rowing Cup I,M2-,Men's Pair - Semifinal,SA/B 1,02/06/2018,6,NED2,06:55.9,"VAN DE KERKHOF, Jacob; THIJSSEN, Bas"
2018 World Rowing Cup I,M2-,Men's Pair - Semifinal,SA/B 2,02/06/2018,1,CRO,06:45.0,"SINKOVIC, Martin; SINKOVIC, Valent"
2018 World Rowing Cup I,M2-,Men's Pair - Semifinal,SA/B 2,02/06/2018,2,CZE,06:49.8,"HELESIC, Lukas; PODRAZIL, Jakub"
2018 World Rowing Cup I,M2-,Men's Pair - Semifinal,SA/B 2,02/06/2018,3,ESP,06:54.2,"CANALEJO PAZOS, Jaime; GARCIA ORDONEZ, Javier"
2018 World Rowing Cup I,M2-,Men's Pair - Semifinal,SA/B 2,02/06/2018,4,NED1,07:02.1,"DE GRAAF, Sander; KLAASSENS, Vincent"
2018 World Rowing Cup I,M2-,Men's Pair - Semifinal,SA/B 2,02/06/2018,5,RUS,07:08.8,"STRADAEV, Alexandr; SHCHULEPOV, Grigorii"
2018 World Rowing Cup I,M2-,Men's Pair - Semifinal,SA/B 2,02/06/2018,6,GER2,07:12.0,"GROSSMANN, Malte; SCHROEDER, Finn"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Heat,H1,01/06/2018,1,GBR,05:53.6,"BARRAS, Thomas; WALTON, Jonathan; THOMAS, Graeme; COLLINS, John"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Heat,H1,01/06/2018,2,POL,05:54.6,"CZAJA, Dominik; ZIETARSKI, Miroslaw; BISKUP, Mateusz; CHABEL, Wiktor"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Heat,H1,01/06/2018,3,NOR,06:00.6,"HELSETH, Martin; SOLBAKKEN, Erik; HELVIG, Jan; TUFTE, Olaf"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Heat,H1,01/06/2018,4,CZE,06:15.4,"KOPAC, Jiri; VIKTORA, Milan; VETESNIK, Jan; CINCIBUCH, Jan"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Heat,H1,01/06/2018,5,HUN,06:26.1,"CSISZAR, Peter; FIALA, Balazs; TAMAS, Bence; FORRAI, David"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Heat,H2,01/06/2018,1,NED,05:55.5,"WIERSMA, Abe; METSEMAKERS, Koen; KEIJSER, Amos; ROBBERS, Freek"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Heat,H2,01/06/2018,2,GER,05:58.3,"STEINHARDT, Ruben; SYRING, Philipp; GRUHNE, Hans; KRUEGER, Stephan"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Heat,H2,01/06/2018,3,RUS,06:04.8,"KOSOV, Artem; VYAZOVKIN, Alexander; PIMENOV, Nikolay; SORIN, Pavel"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Heat,H2,01/06/2018,4,EST,06:06.4,"JAMSA, Andrei; RAJA, Allar; ENDREKSON, Tonu; KUSLAP, Kaur"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Final,FA,03/06/2018,1,GBR,05:38.9,"BARRAS, Thomas; WALTON, Jonathan; THOMAS, Graeme; COLLINS, John"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Final,FA,03/06/2018,2,GER,05:39.1,"STEINHARDT, Ruben; SYRING, Philipp; GRUHNE, Hans; KRUEGER, Stephan"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Final,FA,03/06/2018,3,NOR,05:41.7,"HELSETH, Martin; SOLBAKKEN, Erik; HELVIG, Jan; TUFTE, Olaf"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Final,FA,03/06/2018,4,POL,05:42.5,"CZAJA, Dominik; ZIETARSKI, Miroslaw; BISKUP, Mateusz; CHABEL, Wiktor"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Final,FA,03/06/2018,5,NED,05:45.5,"WIERSMA, Abe; METSEMAKERS, Koen; KEIJSER, Amos; ROBBERS, Freek"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Final,FA,03/06/2018,6,RUS,05:46.5,"KOSOV, Artem; VYAZOVKIN, Alexander; PIMENOV, Nikolay; SORIN, Pavel"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Final,FB,03/06/2018,1,EST,05:46.0,"JAMSA, Andrei; RAJA, Allar; ENDREKSON, Tonu; KUSLAP, Kaur"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Final,FB,03/06/2018,2,CZE,05:52.5,"KOPAC, Jiri; VIKTORA, Milan; VETESNIK, Jan; CINCIBUCH, Jan"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Final,FB,03/06/2018,3,HUN,05:58.9,"CSISZAR, Peter; FIALA, Balazs; TAMAS, Bence; FORRAI, David"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Repechage,R1,02/06/2018,1,NOR,05:51.2,"HELSETH, Martin; SOLBAKKEN, Erik; HELVIG, Jan; TUFTE, Olaf"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Repechage,R1,02/06/2018,2,RUS,05:53.2,"KOSOV, Artem; VYAZOVKIN, Alexander; PIMENOV, Nikolay; SORIN, Pavel"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Repechage,R1,02/06/2018,3,EST,05:57.5,"JAMSA, Andrei; RAJA, Allar; ENDREKSON, Tonu; KUSLAP, Kaur"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Repechage,R1,02/06/2018,4,CZE,06:28.1,"KOPAC, Jiri; VIKTORA, Milan; VETESNIK, Jan; CINCIBUCH, Jan"
2018 World Rowing Cup I,M4x,Men's Quadruple Sculls - Repechage,R1,02/06/2018,5,HUN,06:48.2,"CSISZAR, Peter; FIALA, Balazs; TAMAS, Bence; FORRAI, David"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H1,01/06/2018,1,RUS1,07:12.4,"RYABCEV, Vladislav"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H1,01/06/2018,2,DEN,07:15.6,"NIELSEN, Sverri"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H1,01/06/2018,3,SRB2,07:18.6,"VASIC, Milos"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H1,01/06/2018,4,ESP2,07:21.3,"PRADA FERNANDEZ, David"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H1,01/06/2018,5,FIN2,07:23.0,"NAUKKARINEN, Joel"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H1,01/06/2018,6,RUS2,07:39.3,"MIKHAYLEVSKIY, Viacheslav"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H2,01/06/2018,1,CZE,07:09.2,"SYNEK, Ondrej"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H2,01/06/2018,2,SRB3,07:09.9,"FILIPOVIC, Aleksandar"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H2,01/06/2018,3,GBR,07:12.2,"LEASK, Harry"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H2,01/06/2018,4,BUL,07:13.1,"YOTOV, Boris"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H2,01/06/2018,5,LTU2,07:18.9,"GALISANSKIS, Zygimantas"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H2,01/06/2018,6,MEX,07:21.1,"CABRERA, Juan Carlos"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H3,01/06/2018,1,BLR1,07:10.6,"MIHAL, Dzianis"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H3,01/06/2018,2,LTU1,07:12.7,"GRISKONIS, Mindaugas"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H3,01/06/2018,3,CAN,07:14.1,"BUIE, Matthew"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H3,01/06/2018,4,SRB1,07:21.7,"MARJANOVIC, Marko"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H3,01/06/2018,5,ISR,07:27.8,"FRIDMAN, Dani"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H3,01/06/2018,6,ESP1,07:39.1,"PADILLA, Ruben"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H4,01/06/2018,1,NOR,07:07.9,"BORCH, Kjetil"
