competition,event,race,code,date,position,nationality,time,crew
2016 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,23/08/2016,1,CZE,07:04.3,"KLANG, Matyas; MAKOVICKA, Jakub; SUMA, Radek"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,23/08/2016,2,TUR,07:04.9,"KAZAKLI, Onat; SAHINOGLU, Besim; SAHIN, Kaan"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,23/08/2016,3,GER,07:04.9,"MERGET, Nico; FRAENKEL, Maximilian; LINDEMANN, Felix"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,23/08/2016,4,RSA,07:10.1,"DAVIS, Leo Victor; BRITTAIN, Charles; KHUMALO, Jabulani"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,23/08/2016,5,BUL,07:10.3,"VASILEV, Kristian; BOZHILOV, Georgi; STAMENOV, Andon"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,23/08/2016,6,RUS,07:19.8,"STROMKIN, Aleksander; DEMCHUK, Dmitry; SOLOGUB-ANTONOV, Evgeny"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Semifinal,SA/B 1,25/08/2016,1,GBR,06:54.6,"COOK, Oliver; MCBRIERTY, Callum; FIELDMAN, Henry"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Semifinal,SA/B 1,25/08/2016,2,USA,06:54.7,"RIGOGNE, Yohann; PESZEK, Thomas; LOMBARDI JR, Louis"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Semifinal,SA/B 1,25/08/2016,3,ITA,06:56.6,"PAONESSA, Mario; CAPELLI, Vincenzo; RIVA, Andrea"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Semifinal,SA/B 1,25/08/2016,4,CZE,06:59.6,"KLANG, Matyas; MAKOVICKA, Jakub; SUMA, Radek"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Semifinal,SA/B 1,25/08/2016,5,UKR,06:59.9,"GRYN, Sergii; MOROZ, Artem; KONOVALIUK, Oleksandr"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Semifinal,SA/B 1,25/08/2016,6,TUR,07:03.7,"KAZAKLI, Onat; SAHINOGLU, Besim; SAHIN, Kaan"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Semifinal,SA/B 2,25/08/2016,1,CAN,06:55.2,"STEWART-JONES, Andrew; DE WIT, Benjamin; CHUNG, Kevin"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Semifinal,SA/B 2,25/08/2016,2,NED,06:55.9,"BRAAS, Roel; STEENMAN, Mitchel; WIERSUM, Peter"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Semifinal,SA/B 2,25/08/2016,3,ESP,06:56.6,"GARCIA ORDONEZ, Javier; MONTES, Ismael; JURADO DIAZ, Tomas"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Semifinal,SA/B 2,25/08/2016,4,BLR,06:59.4,"FURMAN, Dzimitry; SURAVETS, Dzianis; PIATRYNICH, Piotr"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Semifinal,SA/B 2,25/08/2016,5,FRA,07:01.7,"DEMEY, Benoit; BRUNET, Benoit; HACOT, Thibaut"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Semifinal,SA/B 2,25/08/2016,6,GER,07:08.2,"MERGET, Nico; FRAENKEL, Maximilian; LINDEMANN, Felix"
2016 World Rowing Cup III,M2+,Men's Coxed Pair - Final,FA,18/06/2016,1,GBR,07:01.8,"COOK, Oliver; MCBRIERTY, Callum; FIELDMAN, Henry"
2016 World Rowing Cup III,M2+,Men's Coxed Pair - Final,FA,18/06/2016,2,TUR,07:03.5,"KAZAKLI, Onat; SAHINOGLU, Besim; AKSU, Kaan"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,24/09/2017,1,GBR,06:59.2,"FORD, Thomas; CLARKE, Timothy; BRIGHTMORE, Harry"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,24/09/2017,2,FRA,07:03.5,"COLARD, Thibault; BAROUKH, Thomas; HACOT, Thibaut"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,24/09/2017,3,ITA,07:05.2,"MANCINI, Jacopo; ABBAGNALE, Vincenzo; ZOPPINI, Riccardo"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,24/09/2017,4,ESP,07:15.5,"LARA PACHECO, Jaime; SARDELLI GIL, Marco; JURADO DIAZ, Tomas"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,24/09/2017,1,AUS,06:59.4,"WRUCK, Darcy; WIDDICOMBE, Angus; ROOK, James"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,24/09/2017,2,GER,06:59.9,"GROSSMANN, Malte; SCHROEDER, Finn; WIESEN, Jonas"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,24/09/2017,3,HUN,07:18.2,"JUHASZ, Adrian; SIMON JR, Bela; KOLLATH, Andrea Vanda"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,29/09/2017,1,HUN,06:54.8,"JUHASZ, Adrian; SIMON JR, Bela; KOLLATH, Andrea Vanda"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,29/09/2017,2,AUS,06:56.6,"WRUCK, Darcy; WIDDICOMBE, Angus; ROOK, James"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,29/09/2017,3,GER,06:58.4,"GROSSMANN, Malte; SCHROEDER, Finn; WIESEN, Jonas"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,29/09/2017,4,GBR,07:01.6,"FORD, Thomas; CLARKE, Timothy; BRIGHTMORE, Harry"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,29/09/2017,5,ITA,07:08.7,"MANCINI, Jacopo; ABBAGNALE, Vincenzo; ZOPPINI, Riccardo"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,29/09/2017,6,ESP,07:13.0,"LARA PACHECO, Jaime; SARDELLI GIL, Marco; JURADO DIAZ, Tomas"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,26/09/2017,1,GER,06:58.4,"GROSSMANN, Malte; SCHROEDER, Finn; WIESEN, Jonas"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,26/09/2017,2,HUN,07:00.9,"JUHASZ, Adrian; SIMON JR, Bela; KOLLATH, Andrea Vanda"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,26/09/2017,3,ITA,07:01.4,"MANCINI, Jacopo; ABBAGNALE, Vincenzo; ZOPPINI, Riccardo"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,26/09/2017,4,ESP,07:01.8,"LARA PACHECO, Jaime; SARDELLI GIL, Marco; JURADO DIAZ, Tomas"
2017 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,26/09/2017,5,FRA,07:02.2,"COLARD, Thibault; BAROUKH, Thomas; HACOT, Thibaut"
2017 World Rowing Cup III,M2+,Men's Coxed Pair - Final,FA,08/07/2017,1,GER,07:07.4,"GROSSMANN, Malte; STUEVEN, Rene; WIESEN, Jonas"
2017 World Rowing Cup III,M2+,Men's Coxed Pair - Final,FA,08/07/2017,2,AUS,07:08.8,"COOMBS, Benjamin; BOWDEN, Nathan; ROOK, James"
2017 World Rowing Cup III,M2+,Men's Coxed Pair - Final,FA,08/07/2017,3,ESP,07:14.6,"LARA PACHECO, Jaime; SARDELLI GIL, Marco; JURADO DIAZ, Tomas"
