competition,event,race,code,position,nationality,time,crew
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Final,FC,2,GBR,06:32.7,"KAY, Tom; MIDDLETON, Tom"
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Final,FC,3,SWE,06:34.1,"KAELLSTROEM, Josef; BATEMYR, Anders"
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Final,FC,4,HKG,06:49.2,"LO, Sing Yan; LUI, Kam Chi"
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Final,FC,5,PAK,06:52.1,"ALI, Zahid; ISLAM, Hazrat"
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Repechage,R1,1,JPN,06:33.8,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Repechage,R1,2,NED,06:37.0,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Repechage,R1,3,SWE,06:38.8,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Repechage,R1,4,RUS,06:44.5,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Repechage,R2,1,ESP,06:39.2,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Repechage,R2,2,USA,06:39.7,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Repechage,R2,3,CUB,06:44.0,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Repechage,R3,1,GER,06:36.3,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Repechage,R3,2,MEX,06:38.1,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Repechage,R3,3,ARG,06:41.1,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Repechage,R3,4,HKG,07:05.0,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Repechage,R4,1,SUI,06:35.4,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Repechage,R4,2,GRE,06:38.8,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Repechage,R4,3,GBR,06:43.2,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Repechage,R4,4,PAK,07:14.0,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,1,FRA,06:21.3,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,2,ITA,06:21.6,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,3,JPN,06:23.4,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,4,GRE,06:25.4,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,5,USA,06:32.9,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,6,ESP,06:39.5,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,1,POL,06:20.6,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,2,SUI,06:23.1,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,3,GER,06:24.6,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,4,AUS,06:25.2,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,5,MEX,06:33.6,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 2,6,NED,06:43.8,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Heat,H1,1,FRA,06:09.3,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Heat,H1,2,CAN,06:10.4,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Heat,H1,3,GER,06:16.4,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Heat,H1,4,CHI,06:21.1,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Heat,H1,5,JPN,06:23.3,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Heat,H2,1,AUS,06:11.4,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Heat,H2,2,NED,06:14.4,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Heat,H2,3,AUT,06:16.9,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Heat,H2,4,RUS,06:17.0,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Heat,H2,5,IRL,06:18.9,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Heat,H3,1,ITA,06:14.9,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Heat,H3,2,USA,06:16.4,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Heat,H3,3,RSA,06:17.9,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Heat,H3,4,DEN,06:21.3,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Final,FA,1,FRA,06:01.7,"PORCHIER, Laurent; BETTE, Jean-Christophe; HOCDE, Yves; DORFMAN, Xavier"
2000 Olympic Games,LM4-,Lightweight Men's Four - Final,FA,2,AUS,06:02.1,"BURGESS, Simon; EDWARDS, Anthony; BALMFORTH, Darren; RICHARDS, Bob"
2000 Olympic Games,LM4-,Lightweight Men's Four - Final,FA,3,DEN,06:03.5,"MADSEN, Soeren; EBERT, Thomas; EBBESEN, Eskild; FEDDERSEN, Victor"
2000 Olympic Games,LM4-,Lightweight Men's Four - Final,FA,4,ITA,06:03.8,"AMITRANO, Salvatore; SANCASSANI, Franco; AMARANTEI, Catello; GADDI, Carlo"
2000 Olympic Games,LM4-,Lightweight Men's Four - Final,FA,5,RSA,06:07.7,"ROWAND, Mark; HAWKINS, Ross; TOBLER, Roger; HASSELBACH, Michael"
2000 Olympic Games,LM4-,Lightweight Men's Four - Final,FA,6,USA,06:10.1,"SCHNEIDER, Marcus; RUCKMAN, Gregory; TETI, Paul; AUTH, Tom"
2000 Olympic Games,LM4-,Lightweight Men's Four - Final,FB,1,CAN,06:04.3,"BRAMBELL, Iain; DAVIDSON, Chris; HASSETT, Gavin; BEARE, Jon"
2000 Olympic Games,LM4-,Lightweight Men's Four - Final,FB,2,NED,06:06.0,"TROOSTER, Joris; SPAANS, Jeroen; KOLKMAN, Simon; VAN DER VOOREN, Robert"
2000 Olympic Games,LM4-,Lightweight Men's Four - Final,FB,3,AUT,06:07.8,"JURTSCHITSCH, Helfried; WAKOLBINGER, Bernd; KOBAU, Martin; SIGL, Wolfgang"
2000 Olympic Games,LM4-,Lightweight Men's Four - Final,FB,4,RUS,06:09.1,"KARTASJOV, Dmitri; SHEVEL, Andrey; BUKREEV, Sergey; ZYUZIN, Alexander"
2000 Olympic Games,LM4-,Lightweight Men's Four - Final,FB,5,IRL,06:09.8,"MAXWELL, Neville; BYRNE, Neal; TOWEY, Gearoid; O'CONNOR, Tony"
2000 Olympic Games,LM4-,Lightweight Men's Four - Final,FB,6,GER,06:15.3,"HAENDLE, Roland; SPAETER, Bjoern; SCHMIDT, Thorsten; MIELKE, Marcus"
2000 Olympic Games,LM4-,Lightweight Men's Four - Repechage,R,1,DEN,06:08.6,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Repechage,R,2,RUS,06:10.4,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Repechage,R,3,IRL,06:13.0,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Repechage,R,4,CHI,06:15.5,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Repechage,R,5,JPN,06:18.6,No Crew Recorded
2000 Olympic Games,LM4-,Lightweight Men's Four - Semifinal,SA/B 1,1,AUS,06:00.8,"BURGESS, Simon; EDWARDS, Anthony; BALMFORTH, Darren; RICHARDS, Bob"
2000 Olympic Games,LM4-,Lightweight Men's Four - Semifinal,SA/B 1,2,FRA,06:00.9,"PORCHIER, Laurent; BETTE, Jean-Christophe; HOCDE, Yves; DORFMAN, Xavier"
2000 Olympic Games,LM4-,Lightweight Men's Four - Semifinal,SA/B 1,3,USA,06:05.1,"SCHNEIDER, Marcus; RUCKMAN, Gregory; TETI, Paul; AUTH, Tom"
2000 Olympic Games,LM4-,Lightweight Men's Four - Semifinal,SA/B 1,4,AUT,06:10.1,"JURTSCHITSCH, Helfried; WAKOLBINGER, Bernd; KOBAU, Martin; SIGL, Wolfgang"
2000 Olympic Games,LM4-,Lightweight Men's Four - Semifinal,SA/B 1,5,IRL,06:10.3,"MAXWELL, Neville; BYRNE, Neal; TOWEY, Gearoid; O'CONNOR, Tony"
2000 Olympic Games,LM4-,Lightweight Men's Four - Semifinal,SA/B 1,6,GER,06:15.8,"HAENDLE, Roland; SPAETER, Bjoern; SCHMIDT, Thorsten; MIELKE, Marcus"
2000 Olympic Games,LM4-,Lightweight Men's Four - Semifinal,SA/B 2,1,ITA,06:00.8,"AMARANTEI, Catello; SANCASSANI, Franco; AMITRANO, Salvatore; GADDI, Carlo"
2000 Olympic Games,LM4-,Lightweight Men's Four - Semifinal,SA/B 2,2,DEN,06:01.7,"MADSEN, Soeren; EBERT, Thomas; EBBESEN, Eskild; FEDDERSEN, Victor"
2000 Olympic Games,LM4-,Lightweight Men's Four - Semifinal,SA/B 2,3,RSA,06:02.1,"ROWAND, Mark; TOBLER, Roger; HAWKINS, Ross; HASSELBACH, Michael"
2000 Olympic Games,LM4-,Lightweight Men's Four - Semifinal,SA/B 2,4,CAN,06:02.5,"BRAMBELL, Iain; DAVIDSON, Chris; HASSETT, Gavin; BEARE, Jon"
2000 Olympic Games,LM4-,Lightweight Men's Four - Semifinal,SA/B 2,5,NED,06:03.3,"TROOSTER, Joris; SPAANS, Jeroen; KOLKMAN, Simon; VAN DER VOOREN, Robert"
2000 Olympic Games,LM4-,Lightweight Men's Four - Semifinal,SA/B 2,6,RUS,06:08.0,"KARTASJOV, Dmitri; SHEVEL, Andrey; BUKREEV, Sergey; ZYUZIN, Alexander"
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H1,1,GER,07:11.3,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H1,2,FRA,07:16.5,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H1,3,CHN,07:21.6,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H1,4,JPN,07:27.1,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H1,5,MEX,07:36.5,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H1,6,KOR,08:00.5,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H2,1,USA,07:10.0,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H2,2,AUS,07:11.1,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H2,3,NED,07:18.0,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H2,4,CAN,07:20.6,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H2,5,BUL,07:22.5,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H2,6,CUB,07:38.3,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H3,1,ROM,07:16.6,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H3,2,SUI,07:21.4,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H3,3,GRE,07:23.9,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H3,4,POL,07:29.0,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H3,5,HUN,07:30.7,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Heat,H3,6,ARG,07:31.1,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FA,1,ROM,07:02.6,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FA,2,GER,07:03.0,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FA,3,USA,07:06.4,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FA,4,AUS,07:12.0,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FA,5,SUI,07:15.6,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FA,6,NED,07:17.9,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FB,1,FRA,07:10.7,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FB,2,POL,07:12.8,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FB,3,CAN,07:13.8,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FB,4,CHN,07:15.3,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FB,5,GRE,07:17.1,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FB,6,BUL,07:17.6,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FC,1,HUN,07:13.2,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FC,2,JPN,07:15.0,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FC,3,CUB,07:19.6,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FC,4,MEX,07:25.0,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FC,5,KOR,07:42.1,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Final,FC,0,ARG,00:00.0,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Repechage,R1,1,NED,07:10.5,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Repechage,R1,2,FRA,07:11.5,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Repechage,R1,3,POL,07:20.9,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Repechage,R1,4,CUB,07:29.1,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Repechage,R1,5,MEX,07:33.6,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Repechage,R2,1,AUS,07:14.1,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Repechage,R2,2,GRE,07:17.4,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Repechage,R2,3,BUL,07:18.9,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Repechage,R2,4,HUN,07:20.2,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Repechage,R2,5,JPN,07:23.4,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Repechage,R3,1,SUI,07:13.0,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Repechage,R3,2,CAN,07:18.8,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Repechage,R3,3,CHN,07:21.0,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Repechage,R3,4,ARG,07:28.2,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Repechage,R3,5,KOR,07:55.7,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 1,1,ROM,06:59.9,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 1,2,NED,07:07.2,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 1,3,SUI,07:07.2,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 1,4,POL,07:08.7,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 1,5,CHN,07:18.6,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 1,6,BUL,07:22.5,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 2,1,USA,07:04.9,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 2,2,GER,07:02.5,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 2,3,AUS,07:06.6,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 2,4,FRA,07:09.3,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 2,5,CAN,07:14.6,No Crew Recorded
2000 Olympic Games,LW2x,Lightweight Women's Double Sculls - Semifinal,SA/B 2,6,GRE,07:21.9,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Heat,H1,1,HUN,09:28.3,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Heat,H1,1,HUN,06:28.3,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Heat,H1,2,POL,06:31.9,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Heat,H1,3,FRA,06:32.7,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Heat,H1,4,CAN,06:35.4,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Heat,H1,5,CRO,06:39.7,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Heat,H1,6,ESP,06:42.7,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Heat,H2,1,SLO,06:24.9,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Heat,H2,2,ITA,06:33.1,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Heat,H2,3,USA,06:37.8,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Heat,H2,4,EST,06:41.7,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Heat,H2,5,DEN,06:58.9,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Heat,H3,1,NOR,06:25.6,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Heat,H3,2,GER,06:34.7,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Heat,H3,3,UKR,06:38.1,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Heat,H3,4,CUB,06:40.3,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Heat,H3,5,CHN,06:50.9,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Final,FA,1,SLO,06:16.6,"SPIK, Luka; COP, Iztok"
2000 Olympic Games,M2x,Men's Double Sculls - Final,FA,2,NOR,06:18.0,"TUFTE, Olaf; BEKKEN, Fredrik"
2000 Olympic Games,M2x,Men's Double Sculls - Final,FA,3,ITA,06:20.5,"CALABRESE, Giovanni; SARTORI, Nicola"
2000 Olympic Games,M2x,Men's Double Sculls - Final,FA,4,GER,06:23.6,"MAYER, Sebastian; ROEHNERT, Stefan"
2000 Olympic Games,M2x,Men's Double Sculls - Final,FA,5,HUN,06:27.0,"PETO, Tibor; HALLER, Akos"
2000 Olympic Games,M2x,Men's Double Sculls - Final,FA,6,POL,06:32.1,"KOROL, Adam; KOLBOWICZ, Marek"
2000 Olympic Games,M2x,Men's Double Sculls - Final,FB,1,FRA,06:20.7,"KOWAL, Frederic; HARDY, Adrien"
2000 Olympic Games,M2x,Men's Double Sculls - Final,FB,2,USA,06:21.7,"NUZUM, Henry; FERRY, Mike"
2000 Olympic Games,M2x,Men's Double Sculls - Final,FB,3,EST,06:22.8,"GULOV, Leonid; SILIN, Andrei"
2000 Olympic Games,M2x,Men's Double Sculls - Final,FB,4,DEN,06:23.2,"SAMUELSON, Bertil; KALISZAN, Bo"
2000 Olympic Games,M2x,Men's Double Sculls - Final,FB,5,UKR,06:27.2,"ZAITSEV, Kostiantyn; PRONENKO, Kostiantyn"
2000 Olympic Games,M2x,Men's Double Sculls - Final,FB,6,CUB,07:28.2,"MARTINEZ HECHEVARRIA, Yosbel; HERNANDEZ ARRUEZ, Yoennis"
2000 Olympic Games,M2x,Men's Double Sculls - Final,FC,1,CAN,06:28.6,"HALLETT, Todd; SEITERLE, Dominic"
2000 Olympic Games,M2x,Men's Double Sculls - Final,FC,2,CRO,06:31.8,"JUKIC, Ivan; JARNJEVIC, Tihomir"
2000 Olympic Games,M2x,Men's Double Sculls - Final,FC,3,CHN,06:37.0,"HUA, Lingjun; LIANG, Hong-Ming"
2000 Olympic Games,M2x,Men's Double Sculls - Final,FC,4,ESP,06:40.2,"MONTESERIN GOMEZ, Mauricio; RIOS ALVAREZ, Jaime"
2000 Olympic Games,M2x,Men's Double Sculls - Repechage,R1,1,POL,06:32.3,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Repechage,R1,2,USA,06:34.6,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Repechage,R1,3,CUB,06:35.8,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Repechage,R1,4,CRO,06:43.6,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Repechage,R2,1,ITA,06:26.0,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Repechage,R2,2,DEN,06:30.9,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Repechage,R2,3,UKR,06:33.2,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Repechage,R2,4,CAN,06:35.0,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Repechage,R3,1,GER,06:27.6,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Repechage,R3,2,FRA,06:31.3,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Repechage,R3,3,EST,06:35.1,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Repechage,R3,4,CHN,06:43.6,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Repechage,R3,5,ESP,06:46.5,No Crew Recorded
2000 Olympic Games,M2x,Men's Double Sculls - Semifinal,SA/B 1,1,SLO,06:16.4,"SPIK, Luka; COP, Iztok"
2000 Olympic Games,M2x,Men's Double Sculls - Semifinal,SA/B 1,2,GER,06:20.4,"MAYER, Sebastian; ROEHNERT, Stefan"
2000 Olympic Games,M2x,Men's Double Sculls - Semifinal,SA/B 1,3,HUN,06:23.8,"PETO, Tibor; HALLER, Akos"
