competition,event,race,code,position,nationality,time,crew
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H1,1,POL,06:34.3,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H1,2,SUI,06:37.9,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H1,3,ARG,06:40.2,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H1,4,USA,06:42.1,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H1,5,SWE,06:42.7,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H2,1,AUS,06:33.5,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H2,2,GER,06:40.5,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H2,3,CUB,06:42.2,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H2,4,RUS,06:46.3,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H2,5,PAK,07:13.6,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H3,1,FRA,06:32.7,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H3,2,ESP,06:34.9,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H3,3,NED,06:38.6,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H3,4,GBR,06:41.7,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H3,5,HKG,07:00.8,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H4,1,ITA,06:24.7,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H4,2,JPN,06:27.0,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H4,3,GRE,06:29.7,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Heat,H4,4,MEX,06:31.2,No Crew Recorded
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Final,FA,1,POL,06:21.7,"KUCHARSKI, Tomasz; SYCZ, Robert"
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Final,FA,2,ITA,06:23.5,"LUINI, Elia; PETTINARI, Leonardo"
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Final,FA,3,FRA,06:24.9,"TOURON, Pascal; CHAPELLE, Thibaud"
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Final,FA,4,GER,06:26.5,"EULER, Ingo; RUEHLING, Bernhard"
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Final,FA,5,SUI,06:28.5,"GIER, Markus; GIER, Michael"
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Final,FA,6,JPN,06:29.7,"HASE, Hitoshi; TAKEDA, Daisaku"
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Final,FB,1,AUS,06:26.2,"KARRASCH, Hamish; HICK, Bruce"
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Final,FB,2,GRE,06:27.8,"POLYMEROS, Vasileios; MILIOTIS, Panagiotis"
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Final,FB,3,ESP,06:31.5,"ALVAREZ HOYOS, Ruben; ZUNZUNEGUI GUIMERANS, Juan"
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Final,FB,4,MEX,06:31.7,"BOUZAS RODRIGUEZ, Romulo; GOMEZ COUNAHAN, Miguel"
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Final,FB,5,USA,06:32.4,"TUCKER, Steve; GROOM, Conal"
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Final,FB,6,NED,06:40.2,"RUPS VAN DER LINDEN, Maarten; AARDEWIJN, Pepijn"
2000 Olympic Games,LM2x,Lightweight Men's Double Sculls - Final,FC,1,ARG,06:29.2,"LIENHARD, Ulf; MASSA, Sebastian"
