MB1x
MB4+
MB4x
MB8+
MC1x
MC2-
MC2x
MC4+
MC4-
MC4x
MC8+
MCLwt1x
MCLwt2-
MCLwt2x
MCLwt4-
MCLwt4x
MCLwt8+
MInt1x
MInt2-
MInt2x
MInt4+
MInt4x
MInt8+
MIntLwt1x
WB1x
WB4+
WB4x
WB8+
WC1x
WC2-
WC2x
WC4+
WC4-
WC4x
WC8+
WCLwt1x
WCLwt2-
WCLwt2x
WCLwt4-
WCLwt4x
WCLwt8+
WInt1x
WInt2-
WInt2x
WInt4+
WInt4x
WInt8+
WIntLwt1x
