Name,Event Name,Date,Time,Level,Race Id,Athlete's Club,Entry Club,Place,Seat No.,Seat,Status,Adj. Time
"Gray, Helen",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Vesta RC,Vesta RC,1,0,Coxswain,Finished,5:56.618
"Gorman, Liam",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Vesta RC,Vesta RC,1,1,Bow,Finished,5:56.618
"Fane-Gladwin, William",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Vesta RC,Vesta RC,1,2,2,Finished,5:56.618
"McCormick, Alastair",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Vesta RC,Vesta RC,1,3,3,Finished,5:56.618
"Turner, Adrian",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Vesta RC,Vesta RC,1,4,4,Finished,5:56.618
"Linn, Christopher",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Vesta RC,Vesta RC,1,5,5,Finished,5:56.618
"Petitt, Chris",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Vesta RC,Vesta RC,1,6,6,Finished,5:56.618
"Sexton-Barrow, James",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Vesta RC,Vesta RC,1,7,7,Finished,5:56.618
"Cary, Joe",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Vesta RC,Vesta RC,1,8,Stroke,Finished,5:56.618
"Presch, Skylar",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),2,0,Coxswain,Finished,6:01.883
"Deluca, Henry",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),2,1,Bow,Finished,6:01.883
"Samuelsen, Tor",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),2,2,2,Finished,6:01.883
"Barnett, Jake",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),2,3,3,Finished,6:01.883
"Gray, Matthew",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),2,4,4,Finished,6:01.883
"Landboe, Tore",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),2,5,5,Finished,6:01.883
"Thorkildsen, Espen",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),2,6,6,Finished,6:01.883
"Theirs, Jeffrey",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),2,7,7,Finished,6:01.883
"Olthoff, Peter",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),2,8,Stroke,Finished,6:01.883
"Robinson, Theodora",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Auriol Kensington,Auriol Kensington,3,0,Coxswain,Finished,6:04.625
"Fishlock, James",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Auriol Kensington,Auriol Kensington,3,1,Bow,Finished,6:04.625
"Harbecke, Christian",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Auriol Kensington,Auriol Kensington,3,2,2,Finished,6:04.625
"Ellis, Scott",IM3.8+ (Club),6/20/2015,8:30 AM,Time Trial,TT 1,Auriol Kensington,Auriol Kensington,3,3,3,Finished,6:04.625
