Race Number,Event Name,Race Name and Type,Position,Lane Number,Club Code,Club Name,Crew List
11,Women's SIngle Sculls Tier 4,Heat 1,1,2,NOR,Norwich RC,Bethany Meakin
11,Women's SIngle Sculls Tier 4,Heat 1,2,4,UBR,Bristol Univ,Teuntje Tijssen
11,Women's SIngle Sculls Tier 4,Heat 1,3,5,VRC,Vesta RC,Kirsten Adams
11,Women's SIngle Sculls Tier 4,Heat 1,4,1,ZQL,Queens U Ladies,Olivia Blundell
11,Women's SIngle Sculls Tier 4,Heat 1,5,3,TUN,Taunton RC,Amy Hallett
11,Women's SIngle Sculls Tier 4,Heat 1,6,6,OUW,Oxford UWBC,Elettra Ardissino
12,Women's SIngle Sculls Tier 4,Heat 2,1,5,EXU,Exeter Univ,Oluwaseun Olusanya
12,Women's SIngle Sculls Tier 4,Heat 2,2,3,NRC,Nottingham RC,Fleur Tavar̩
12,Women's SIngle Sculls Tier 4,Heat 2,3,1,NRC,Nottingham RC,Isabella Barlow
12,Women's SIngle Sculls Tier 4,Heat 2,4,6,GLW,Glasgow RC,Robyn Brogan
12,Women's SIngle Sculls Tier 4,Heat 2,5,4,TNT,1927 BC,Sarah Harbour
12,Women's SIngle Sculls Tier 4,Heat 2,6,2,WRC,Wallingford RC,Electra Panagoulia
13,Coxed Fours Tier 3,Heat 1,1,4,DUB (A),Durham Univ,"Max Robinson, Oscar Lindsay, Danylo Gorenkin, Leon Langmead, [Cox] Eleanor Robson"
13,Coxed Fours Tier 3,Heat 1,2,1,USU,Surrey Univ,"Harry Grassom, Alex Law, Jonas Butvilas, Andrew Stevenson, [Cox] Tsolo Swan"
13,Coxed Fours Tier 3,Heat 1,3,2,KCL,King's Coll Lon,"Alexander Stevens, Erik Habich, Simon Deacon, James Gregory, [Cox] Jasper Couper"
13,Coxed Fours Tier 3,Heat 1,4,6,AGE,Agecroft RC,"Adam Godfrey, David Bentham, Nick Morrey, Oliver Uttley, [Cox] Annabel Pooley"
13,Coxed Fours Tier 3,Heat 1,5,3,CAB (B),Cantabrigian RC,"Hannes Burfeind, Sam Philpott, Guy Fiddian, James Adams, [Cox] Sara Russo"
13,Coxed Fours Tier 3,Heat 1,6,5,DUB (C),Durham Univ,"Christian Palmer, George Cansdale, Lucas Rodd, Lloyd Barron-Robinson, [Cox] Fiona Hardyman"
13,Coxed Fours Tier 3,Heat 1,7,7,KRC (C),Kingston RC,"Emil Biese, Fred Isaac, Marcus Sirmon, Joshua Spice, [Cox] Prudence Seaward"
14,Coxed Fours Tier 3,Heat 2,1,3,DUB (B),Durham Univ,"Chris Rimmer, Joseph Johansen, Patrick Kinch, James Vogel, [Cox] Benjamin Rich"
14,Coxed Fours Tier 3,Heat 2,2,7,ZCK,Cork BC,"Ryan Povey, Neil McCarthy, Barry Connolly, Cian O'Sullivan, [Cox] Siobhan Egan"
14,Coxed Fours Tier 3,Heat 2,3,4,WRC (B),Wallingford RC,"Robert Mason, James Wright, Robert Hines, Jonathan Mentor, [Cox] Poul Alexander"
14,Coxed Fours Tier 3,Heat 2,4,2,OXB,Oxford Brookes,"Robert Jones, Samuel Smith, James O'Dell, Arthur Arnould, [Cox] Katy Ward"
14,Coxed Fours Tier 3,Heat 2,5,5,RCH,Royal Chester,"Matthew Webb, David Barstow, Harry Ballard, Jonathan Jamshed, [Cox] Jessica Bromley"
14,Coxed Fours Tier 3,Heat 2,6,1,PTR (A),Putney Town,"Rory Keith, James Percival, Jonathan Fisher, James Diserens, [Cox] Jade Gowan"
14,Coxed Fours Tier 3,Heat 2,7,6,UNH,United Hosp BC,"Marco Ghilardi, Saad Habib, Christopher Law, Shaman Dolly, [Cox] Christina Elliott"
15,Women's Double Sculls Tier 1,Final,1,1,ZFS (B),Skibereen RC,"Aoife Casey, Denise Walsh"
15,Women's Double Sculls Tier 1,Final,2,5,OUW/ OXB,Oxford UWBC/ Oxford Brookes,"Imogen Mackie (OXB), Flo Pickles (OUW)"
15,Women's Double Sculls Tier 1,Final,3,3,RDU (A),Reading Univ,"Loretta Grove, Lucy Ryan"
15,Women's Double Sculls Tier 1,Final,4,2,TSS (A),Tideway Sc Sch,"Emily Walters, Bethan Walters"
15,Women's Double Sculls Tier 1,Final,5,4,MBC (B),Molesey BC,"Alika-Peach Molloy, Claire McKeown"
