Name,Event Name,Date,Time,Level,Race Id,Athlete's Club,Entry Club,Place,Seat No.,Seat,Status,Adj. Time
"Briggs, Anthony",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Quintin BC,Quintin BC,5,2,2,Finished,06:01.3
"Theron, Philip",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Quintin BC,Quintin BC,5,3,3,Finished,06:01.3
"Shrieve, Will",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Quintin BC,Quintin BC,5,4,4,Finished,06:01.3
"Healey Lapena, Joshua",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Quintin BC,Quintin BC,5,5,5,Finished,06:01.3
"Davies, Huw",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Quintin BC,Quintin BC,5,6,6,Finished,06:01.3
"Moneley, Sean",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Quintin BC,Quintin BC,5,7,7,Finished,06:01.3
"Byrne-Smith, Richard",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Quintin BC,Quintin BC,5,1,Bow,Finished,06:01.3
"Adams, Jane",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Quintin BC,Quintin BC,5,0,Coxswain,Finished,06:01.3
"Brown, Kierhan",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Quintin BC,Quintin BC,5,8,Stroke,Finished,06:01.3
"Millet, Quentin",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,6,2,2,Finished,06:01.6
"Lee, Philip",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,6,3,3,Finished,06:01.6
"Kaberry, Jonny",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,6,4,4,Finished,06:01.6
"Urbancsok, Endre",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,6,5,5,Finished,06:01.6
"Luck, Oliver",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,6,6,6,Finished,06:01.6
"Avery, Daniel",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,6,7,7,Finished,06:01.6
"Ingham, Sam",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,6,1,Bow,Finished,06:01.6
"Lewis, William",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,6,0,Coxswain,Finished,06:01.6
"Townsend, Rupert",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,6,8,Stroke,Finished,06:01.6
"Ventham, Hugo",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,7,2,2,Finished,06:01.7
"Hugo, Jack",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,7,3,3,Finished,06:01.7
"Hawkins, Max",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,7,4,4,Finished,06:01.7
"Goerke, Richard",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,7,5,5,Finished,06:01.7
"Champion, Michael",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,7,6,6,Finished,06:01.7
"Brunton, Joe",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,7,7,7,Finished,06:01.7
"Richardson, Nick",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,7,1,Bow,Finished,06:01.7
"Baillache, Daniel",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,7,0,Coxswain,Finished,06:01.7
"Bennett, Dominic",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,7,8,Stroke,Finished,06:01.7
"Plumstead, David",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,8,2,2,Finished,06:02.3
"Draper, David",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,8,3,3,Finished,06:02.3
"Stevenson, Ross",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,8,4,4,Finished,06:02.3
"Sims, Matthew",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,8,5,5,Finished,06:02.3
"Frank, Samuel",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,8,6,6,Finished,06:02.3
"Wei, Thomas",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,8,7,7,Finished,06:02.3
"Baxter, Tom",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,8,1,Bow,Finished,06:02.3
"Bell, Jessica",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,8,0,Coxswain,Finished,06:02.3
"McDonald, Ross",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,8,8,Stroke,Finished,06:02.3
"Daniell, Christopher",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Marlow RC,Marlow RC,9,2,2,Finished,06:03.5
"Smith, Matthew",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Marlow RC,Marlow RC,9,3,3,Finished,06:03.5
"Whitehead, Samuel",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Marlow RC,Marlow RC,9,4,4,Finished,06:03.5
"McDiarmid, Kingsley",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Marlow RC,Marlow RC,9,5,5,Finished,06:03.5
"Farr, Graham",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Marlow RC,Marlow RC,9,6,6,Finished,06:03.5
"Hines, Philip",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Marlow RC,Marlow RC,9,7,7,Finished,06:03.5
"Poynton, Oliver",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Marlow RC,Marlow RC,9,1,Bow,Finished,06:03.5
"Manning, Emma",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Marlow RC,Marlow RC,9,0,Coxswain,Finished,06:03.5
"Durham, Michael",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Marlow RC,Marlow RC,9,8,Stroke,Finished,06:03.5
"Stevens, Brian",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Chesterton RC,Chesterton RC,10,2,2,Finished,06:08.9
"Gray, Lewis",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Chesterton RC,Chesterton RC,10,3,3,Finished,06:08.9
"Andrews, Steven",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Chesterton RC,Chesterton RC,10,4,4,Finished,06:08.9
"Burgess, Conor",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Chesterton RC,Chesterton RC,10,5,5,Finished,06:08.9
"Wood, Christopher",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Chesterton RC,Chesterton RC,10,6,6,Finished,06:08.9
"Penson, Steve",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Chesterton RC,Chesterton RC,10,7,7,Finished,06:08.9
"Lee, Keith",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Chesterton RC,Chesterton RC,10,1,Bow,Finished,06:08.9
"Tidy, James",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Chesterton RC,Chesterton RC,10,0,Coxswain,Finished,06:08.9
"Connolley, William",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Chesterton RC,Chesterton RC,10,8,Stroke,Finished,06:08.9
"Fieldhouse, Harry",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,1,2,2,Finished,06:06.2
"Hamilton, Matthew",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,1,3,3,Finished,06:06.2
"Ladhur, Piero",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,1,1,Bow,Finished,06:06.2
"Cross, Tom",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,1,4,Stroke,Finished,06:06.2
"Logan, Conor",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Leeds RC,Leeds RC,2,2,2,Finished,06:07.8
"Gallagher, Tim",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Leeds RC,Leeds RC,2,3,3,Finished,06:07.8
"Tipper, James",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Leeds RC,Leeds RC,2,1,Bow,Finished,06:07.8
"Adrienne, Alexander",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Leeds RC,Leeds RC,2,4,Stroke,Finished,06:07.8
"Brown, Jamie",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Cambridge U L,Cambridge U L,3,2,2,Finished,06:14.3
"Cullen, Charles",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Cambridge U L,Cambridge U L,3,3,3,Finished,06:14.3
"MacKworth, Ben",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Cambridge U L,Cambridge U L,3,1,Bow,Finished,06:14.3
"Bergamo Andreis, Giovanni",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Cambridge U L,Cambridge U L,3,4,Stroke,Finished,06:14.3
"Abbott, P M",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Ardingly,Ardingly,4,2,2,Finished,06:14.5
"Green, Elliot",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Ardingly,Ardingly,4,3,3,Finished,06:14.5
"Dombrowe, Alex",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Ardingly,Ardingly,4,1,Bow,Finished,06:14.5
"Beedell, Harry",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Ardingly,Ardingly,4,4,Stroke,Finished,06:14.5
"Wall, William",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Hsbc RC,Hsbc RC,5,2,2,Finished,06:17.7
"Davies, Jon",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Hsbc RC,Hsbc RC,5,3,3,Finished,06:17.7
"Lhommet, Pierre Antoine",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Hsbc RC,Hsbc RC,5,1,Bow,Finished,06:17.7
"Thomas, Max",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Hsbc RC,Hsbc RC,5,4,Stroke,Finished,06:17.7
"Matthews, Sebastian",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Norwich RC,Norwich RC,6,2,2,Finished,06:17.8
"Craven, Toby",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Norwich RC,Norwich RC,6,3,3,Finished,06:17.8
"Lewis Williams, Max",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Norwich RC,Norwich RC,6,1,Bow,Finished,06:17.8
"Johnston, Dan",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Norwich RC,Norwich RC,6,4,Stroke,Finished,06:17.8
"Vitale, Lucas",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,London RC,London RC,7,2,2,Finished,06:18.3
"Crewe, Paul",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,London RC,London RC,7,3,3,Finished,06:18.3
"Corbett, Rory",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,London RC,London RC,7,1,Bow,Finished,06:18.3
"Storey, Hugo",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,London RC,London RC,7,4,Stroke,Finished,06:18.3
"Massey, Alexander",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,8,2,2,Finished,06:19.8
"Moore, Matthew",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,8,3,3,Finished,06:19.8
"Ryan, Nathan",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,8,1,Bow,Finished,06:19.8
"Kabelik, Karel",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,8,4,Stroke,Finished,06:19.8
"Briggs, Thomas",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Oxford City,Oxford City,9,2,2,Finished,06:20.0
"Reed-Beadle, Owen",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Oxford City,Oxford City,9,3,3,Finished,06:20.0
"Broomfield, Thomas",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Oxford City,Oxford City,9,1,Bow,Finished,06:20.0
"Crowther, Robby",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Oxford City,Oxford City,9,4,Stroke,Finished,06:20.0
"O Dell, James",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Cantabrigian,Cantabrigian,10,2,2,Finished,06:22.4
"Collins, Sean",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Cantabrigian,Cantabrigian,10,3,3,Finished,06:22.4
"Ford, P",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Cantabrigian,Cantabrigian,10,1,Bow,Finished,06:22.4
"Oughton, Edward",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Cantabrigian,Cantabrigian,10,4,Stroke,Finished,06:22.4
"Roe, Daniel",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Nottingham RC,Nottingham RC,11,2,2,Finished,06:23.7
"Bennett, Stephen",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Nottingham RC,Nottingham RC,11,3,3,Finished,06:23.7
"Bowles, Matthew",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Nottingham RC,Nottingham RC,11,1,Bow,Finished,06:23.7
"Formarier, Rapha܂l",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Nottingham RC,Nottingham RC,11,4,Stroke,Finished,06:23.7
"Osborne, Theo",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Molesey BC,Molesey BC,12,2,2,Finished,06:24.0
"Pockney, Isaac",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Molesey BC,Molesey BC,12,3,3,Finished,06:24.0
"Jones, Oliver",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Molesey BC,Molesey BC,12,1,Bow,Finished,06:24.0
"Elliott, Jasper",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Molesey BC,Molesey BC,12,4,Stroke,Finished,06:24.0
"Lawlor-Anderson, Jack",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Cambridge City RC,Cambridge City RC,13,2,2,Finished,06:25.2
"Hetherington, Thomas",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Cambridge City RC,Cambridge City RC,13,3,3,Finished,06:25.2
"Shadbolt, Thomas",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Cambridge City RC,Cambridge City RC,13,1,Bow,Finished,06:25.2
"Ladd, Stuart",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Cambridge City RC,Cambridge City RC,13,4,Stroke,Finished,06:25.2
"Goodley, Oliver",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Upper Thames RC,Upper Thames RC,14,2,2,Finished,06:25.8
"Gilligan, Chris",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Upper Thames RC,Upper Thames RC,14,3,3,Finished,06:25.8
"Camilleri, Jack",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Upper Thames RC,Upper Thames RC,14,1,Bow,Finished,06:25.8
"Moles, Robert",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Upper Thames RC,Upper Thames RC,14,4,Stroke,Finished,06:25.8
"Smith, Benjamin",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Stratford-U-avon BC,Stratford-U-avon BC,15,2,2,Finished,06:29.6
"Coles, Thomas",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Stratford-U-avon BC,Stratford-U-avon BC,15,3,3,Finished,06:29.6
"Smith, Oliver",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Stratford-U-avon BC,Stratford-U-avon BC,15,1,Bow,Finished,06:29.6
"Tarrant, Harry",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Stratford-U-avon BC,Stratford-U-avon BC,15,4,Stroke,Finished,06:29.6
"Fidler, Matthew",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Broxbourne RC,Broxbourne RC,16,2,2,Finished,06:32.0
"Cheale, Ryan",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Broxbourne RC,Broxbourne RC,16,3,3,Finished,06:32.0
"Robinson, Phil",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Broxbourne RC,Broxbourne RC,16,1,Bow,Finished,06:32.0
"Mayes, Robert",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Broxbourne RC,Broxbourne RC,16,4,Stroke,Finished,06:32.0
"Osborne, Joseph",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Worcester RC,Worcester RC,17,2,2,Finished,06:32.3
"Natynczuk, Rory",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Worcester RC,Worcester RC,17,3,3,Finished,06:32.3
"Pain, Ashley",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Worcester RC,Worcester RC,17,1,Bow,Finished,06:32.3
"Santese, Luca",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Worcester RC,Worcester RC,17,4,Stroke,Finished,06:32.3
"Wordsworth, Thomas",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Jesus Coll (c),Jesus Coll (c),18,2,2,Finished,06:36.7
"Nugent, Tim",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Jesus Coll (c),Jesus Coll (c),18,3,3,Finished,06:36.7
"Corbridge, John",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Jesus Coll (c),Jesus Coll (c),18,1,Bow,Finished,06:36.7
"Vincent, Jonti",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Jesus Coll (c),Jesus Coll (c),18,4,Stroke,Finished,06:36.7
"Bright, Dominic",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,City Of Swansea RC,City Of Swansea RC,19,2,2,Finished,06:44.6
"Dawe, William",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,City Of Swansea RC,City Of Swansea RC,19,3,3,Finished,06:44.6
"Bagwell, Scott",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,City Of Swansea RC,City Of Swansea RC,19,1,Bow,Finished,06:44.6
"Hares, Edward",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,City Of Swansea RC,City Of Swansea RC,19,4,Stroke,Finished,06:44.6
"Taylor, Stuart",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Nottingham Univ,Nottingham Univ,20,2,2,Finished,07:01.3
"Coombes, Nick",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Nottingham Univ,Nottingham Univ,20,3,3,Finished,07:01.3
"Towell, Samuel",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Nottingham Univ,Nottingham Univ,20,1,Bow,Finished,07:01.3
"Aduakwa, Daniel",IM2.4-,18/06/2016,8:35 AM,Time Trial,TT 1,Nottingham Univ,Nottingham Univ,20,4,Stroke,Finished,07:01.3
"Bell, Nick",ELI.1x,18/06/2016,8:42 AM,Time Trial,TT 1,Bath Univ,Bath Univ,0,1,Sculler,DNS,
"Barras, Tom",ELI.1x,18/06/2016,8:42 AM,Time Trial,TT 1,Leander,Leander,0,1,Sculler,DNS,
"Bugajski, Joshua",ELI.1x,18/06/2016,8:42 AM,Time Trial,TT 1,Oxford Univ BC,Oxford Univ BC,1,1,Sculler,Finished,06:46.1
"Bell, Dave",ELI.1x,18/06/2016,8:42 AM,Time Trial,TT 1,Molesey BC,Molesey BC,2,1,Sculler,Finished,06:47.9
"Hughes, Turlough",ELI.1x,18/06/2016,8:42 AM,Time Trial,TT 1,University Coll Dublin RC,University Coll Dublin RC,3,1,Sculler,Finished,06:51.5
"Read, David",ELI.1x,18/06/2016,8:42 AM,Time Trial,TT 1,Henley RC,Henley RC,4,1,Sculler,Finished,06:52.0
"Scott, James",ELI.1x,18/06/2016,8:42 AM,Time Trial,TT 1,Rob Roy,Rob Roy,5,1,Sculler,Finished,06:52.2
"Oliver, Tiernan",ELI.1x,18/06/2016,8:42 AM,Time Trial,TT 1,Queens Univ Belfast RC,Queens Univ Belfast RC,6,1,Sculler,Finished,06:54.1
"Wells, Laurence",ELI.1x,18/06/2016,8:42 AM,Time Trial,TT 1,Army RC,Army RC,7,1,Sculler,Finished,07:26.8
"Whittal-Williams, Evan",SEN.4-,18/06/2016,8:47 AM,Time Trial,TT 1,Lea RC,Lea RC,0,2,2,DNS,
