Name,Event Name,Date,Time,Level,Race Id,Athlete's Club,Entry Club,Place,Seat No.,Seat,Status,Adj. Time
"Gibson, Steve",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Exeter RC,Exeter RC,1,2,2,Finished,05:55.1
"Gilman, Sam",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Exeter RC,Exeter RC,1,3,3,Finished,05:55.1
"Bryon-Edmond, Ben",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Exeter RC,Exeter RC,1,4,4,Finished,05:55.1
"Bates, Simeon",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Exeter RC,Exeter RC,1,5,5,Finished,05:55.1
"Smalley, Tom",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Exeter RC,Exeter RC,1,6,6,Finished,05:55.1
"Bryon-Edmond, Joe",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Exeter RC,Exeter RC,1,7,7,Finished,05:55.1
"Doble, Jack",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Exeter RC,Exeter RC,1,1,Bow,Finished,05:55.1
"Brailey, Philippa",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Exeter RC,Exeter RC,1,0,Coxswain,Finished,05:55.1
"Allery, Chad",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Exeter RC,Exeter RC,1,8,Stroke,Finished,05:55.1
"Heming, Matthew",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Dart Totnes RC,Dart Totnes RC,2,2,2,Finished,05:56.5
"Swiss, Matthew",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Dart Totnes RC,Dart Totnes RC,2,3,3,Finished,05:56.5
"Leaney, Ben",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Dart Totnes RC,Dart Totnes RC,2,4,4,Finished,05:56.5
"Swan, Alex",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Dart Totnes RC,Dart Totnes RC,2,5,5,Finished,05:56.5
"Alberici, Daniel",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Dart Totnes RC,Dart Totnes RC,2,6,6,Finished,05:56.5
"Kearns, Alex",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Dart Totnes RC,Dart Totnes RC,2,7,7,Finished,05:56.5
"Meredith-Clarke, Stephen",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Dart Totnes RC,Dart Totnes RC,2,1,Bow,Finished,05:56.5
"Phillips, Matthew",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Dart Totnes RC,Dart Totnes RC,2,0,Coxswain,Finished,05:56.5
"Rostron, Sam",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Dart Totnes RC,Dart Totnes RC,2,8,Stroke,Finished,05:56.5
"Wood, Philip",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Sabrina,Sabrina,3,2,2,Finished,05:57.9
"Walker, Matthew",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Sabrina,Sabrina,3,3,3,Finished,05:57.9
"Kynaston, James",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Sabrina,Sabrina,3,4,4,Finished,05:57.9
"Randall, Philip",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Sabrina,Sabrina,3,5,5,Finished,05:57.9
"Shropshire, Richard",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Sabrina,Sabrina,3,6,6,Finished,05:57.9
"Russell, James",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Sabrina,Sabrina,3,7,7,Finished,05:57.9
"Homden, Robert",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Sabrina,Sabrina,3,1,Bow,Finished,05:57.9
"Milanova, Sonya",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Sabrina,Sabrina,3,0,Coxswain,Finished,05:57.9
"Hagger, Allister",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Sabrina,Sabrina,3,8,Stroke,Finished,05:57.9
"Somerville, Daniel",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Maidenhead RC,Maidenhead RC,4,2,2,Finished,05:59.2
"Walters, Ethan",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Maidenhead RC,Maidenhead RC,4,3,3,Finished,05:59.2
"Downie, Lewis",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Maidenhead RC,Maidenhead RC,4,4,4,Finished,05:59.2
"Collett, Sergio",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Maidenhead RC,Maidenhead RC,4,5,5,Finished,05:59.2
"Collins, Charlie",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Maidenhead RC,Maidenhead RC,4,6,6,Finished,05:59.2
"Sneller, Jonathan",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Maidenhead RC,Maidenhead RC,4,7,7,Finished,05:59.2
"Rowe, Harrison",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Maidenhead RC,Maidenhead RC,4,1,Bow,Finished,05:59.2
"O Mahony, Olivia",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Maidenhead RC,Maidenhead RC,4,0,Coxswain,Finished,05:59.2
"Felstead, Jordan",IM3.8+ (Club),18/06/2016,8:30 AM,Time Trial,TT 1,Maidenhead RC,Maidenhead RC,4,8,Stroke,Finished,05:59.2
